v8-version,6,2,414,78,0
code-creation,Builtin,5,3434,0x932235d29c0,15,"ObjectFreeze"
code-creation,Builtin,5,3435,0x932235d2a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,3436,0x932235d2ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,3437,0x932235d2b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,3438,0x932235d2bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,3439,0x932235d2c40,15,"ObjectIsSealed"
code-creation,Builtin,5,3440,0x932235d2cc0,540,"ObjectKeys"
code-creation,Builtin,5,3441,0x932235d2f40,15,"ObjectEntries"
code-creation,Builtin,5,3441,0x932235d2fc0,15,"ObjectValues"
code-creation,Builtin,5,3442,0x932235d3040,15,"ObjectDefineGetter"
code-creation,Builtin,5,3443,0x932235d30c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,3444,0x932235d3140,1943,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,3445,0x932235d3940,15,"ObjectLookupGetter"
code-creation,Builtin,5,3446,0x932235d39c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,3447,0x932235d3a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,3448,0x932235d3b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,3449,0x932235d3c00,1176,"ObjectPrototypeToString"
code-creation,Builtin,5,3450,0x932235d4100,132,"ClassOf"
code-creation,Builtin,5,3451,0x932235d4200,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,3452,0x932235d42a0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,3453,0x932235d4320,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,3454,0x932235d43a0,15,"FunctionConstructor"
code-creation,Builtin,5,3455,0x932235d4420,64,"FunctionPrototypeApply"
code-creation,Builtin,5,3456,0x932235d44c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,3457,0x932235d4a00,81,"CallVarargs"
code-creation,Builtin,5,3458,0x932235d4ac0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,3459,0x932235d4e80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,3460,0x932235d4f00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,3461,0x932235d4fa0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,3462,0x932235d5020,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,3463,0x932235d5180,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,3463,0x932235d5220,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,3464,0x932235d56a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,3465,0x932235d5b20,159,"AsyncGeneratorAwaitResolveClosure"
