v8-version,6,2,414,78,0
code-creation,Stub,3,4607,0x20a55c243a60,1246,"RecordWriteStub"
code-creation,Handler,4,4608,0x20a55c243fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,4608,0x20a55c244260,2126,"RecordWriteStub"
code-creation,Stub,3,4609,0x20a55c244b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4610,0x20a55c244c60,2063,"RecordWriteStub"
code-creation,Stub,3,4611,0x20a55c2454e0,2100,"RecordWriteStub"
code-creation,Stub,3,4611,0x20a55c245d80,2103,"RecordWriteStub"
code-creation,Handler,4,4612,0x20a55c246620,552,"An IC handler from the snapshot"
code-creation,Stub,3,4613,0x20a55c2468c0,896,"RecordWriteStub"
code-creation,Stub,3,4613,0x20a55c246ca0,2100,"RecordWriteStub"
code-creation,Stub,3,4614,0x20a55c247540,2104,"RecordWriteStub"
code-creation,Stub,3,4615,0x20a55c247de0,1246,"RecordWriteStub"
code-creation,Stub,3,4616,0x20a55c248320,2100,"RecordWriteStub"
code-creation,Stub,3,4616,0x20a55c248bc0,2072,"RecordWriteStub"
code-creation,Stub,3,4617,0x20a55c249440,2099,"RecordWriteStub"
code-creation,Stub,3,4618,0x20a55c249ce0,2134,"RecordWriteStub"
code-creation,Stub,3,4618,0x20a55c24a5a0,2104,"RecordWriteStub"
code-creation,Stub,3,4619,0x20a55c24ae40,2100,"RecordWriteStub"
code-creation,Stub,3,4620,0x20a55c24b6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,4621,0x20a55c24b8a0,25,"Abort"
code-creation,Stub,3,4621,0x20a55c24b920,2114,"RecordWriteStub"
code-creation,Builtin,5,4622,0x20a55c24c1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,4623,0x20a55c24c260,28,"ReturnReceiver"
code-creation,Builtin,5,4624,0x20a55c24c2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,4625,0x20a55c24c500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,4626,0x20a55c24c660,223,"CreateIterResultObject"
